Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
3003,No,Monaghan,Candlefort,Inniskeen,Co Monaghan,05/696,,01/01/2000,0,0,4,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,4,4,0,0,0,0,17/07/2017,No,,1,0
2242,No,Offaly,An Corran,,Crinkle,99/1457,18/04/2002,17/04/2007,0,24,0,0,0,24,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,24,24,24,24,1,1,0,0,26/07/2017,No,,0,0
2243,No,Offaly,An Cumeen,,Banagher,04/718,22/02/2005,21/02/2010,0,0,4,6,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,8,2,8,2,8,10,10,10,0,0,0,0,26/07/2017,Yes,1,0,0
2263,No,Offaly,Sprinfort,,Monegall,07/359,11/06/2007,10/06/2012,1,14,0,0,0,15,4,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,4,0,0,15,4,4,4,2,0,0,2,26/07/2017,No,,0,0
2267,No,Offaly,Tyrrels Brook,Tyrells Lane,Edenderry,6849,11/04/2007,17/05/2012,0,42,0,0,0,42,9,0,0,0,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,9,9,9,3,0,0,3,26/07/2017,No,,0,0
2563,No,Offaly,Esker Hills Golf Club,Eskar Hills,Tullamore,41799,13/07/2006,12/07/2011,0,18,20,0,0,38,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,20,18,20,18,20,20,20,0,0,0,0,26/07/2017,No,,0,0
2904,No,Offaly,Lismooney Court,Kinnity,Birr,04/1298,06/06/2005,06/06/2010,0,8,0,0,0,8,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,2,8,0,8,8,8,1,1,0,0,26/07/2017,No,,1,0
3066,No,Offaly,TULLAMORE RD,Cloneygowan,Cloneygowan,PL2/06/472,28/03/2007,27/03/2012,0,0,6,0,7,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,6,7,0,7,6,6,6,1,0,0,1,26/07/2017,Yes,1,0,0
2270,Yes,Roscommon,Abbeyfield,Sligo Road,Ballaghaderreen,01/739,02/04/2002,01/04/2007,4,0,24,0,0,28,15,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,21,0,21,21,21,1,1,0,0,16/08/2017,No,,15,0
2271,No,Roscommon,Abbeyville Court,Galway Road,Roscommon,1947,28/06/2001,29/04/2012,50,108,23,0,0,181,88,17,0,21,0,3,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,106,0,106,0,106,106,106,5,3,0,2,25/07/2017,No,,9,0
