No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
395,SHIP CONSTRUCTION,Kildare,"Hillview Terrace, Narraghmore",4,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
396,SHIP CONSTRUCTION,Kildare,"Newtown, Leixlip",4,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
397,SHIP CONSTRUCTION RAPID,Kildare,"Old Greenfield Road, Maynooth",50,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
398,SHIP CONSTRUCTION TURNKEY,Kildare,"Bodkin Place, Kilmeague",16,N/A,,,,,,Q4-2017
399,SHIP CONSTRUCTION TURNKEY,Kildare,Monasterevin (2),7,N/A,,,,,Q4-2017,
400,SHIP CONSTRUCTION TURNKEY,Kildare,Monasterevin (1),6,N/A,,,,,,Q4-2017
401,CALF CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny *",39,Respond!,,,,Scheme approved for CALF funding Q4-2015 (revised approval received in Q3-2017) ,,
402,CALF CONSTRUCTION,Kilkenny,Walkin St Kilkenny,27,Oaklee Housing Trust,,,,Scheme approved for CALF Funding Q4-2017,,
403,CALF CONSTRUCTION,Kilkenny,"Friary Walk, Callan",16,Cluid Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
404,CALF CONSTRUCTION TURNKEY,Kilkenny,"Logan Square, Thomastown, Co. Kilkenny*",16,Oaklee,,,,,,Q4-2017
405,CALF CONSTRUCTION TURNKEY,Kilkenny,"Moneenview side Rd, Moneenroe",9,Oaklee Housing Trust,,,,,Q1-2017,
406,CALF CONSTRUCTION TURNKEY,Kilkenny,"Chapel St. and New Road, Mooncoin, Co. Kilkenny",6,Respond!,,,,Scheme approved for CALF Funding Q3-2017,,
407,CAS CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny",15,Respond!,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
408,CAS CONSTRUCTION,Kilkenny,Nimble Spaces Project at Callan,15,Camphill Communities of Ireland,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
409,CAS CONSTRUCTION,Kilkenny,Good Shepherd Centre - Wing 1952,12,The Good Shepherd Centre (Kilkenny) Ltd,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
410,CAS CONSTRUCTION,Kilkenny,"Friary Walk, Callan",12,Cluid Housing Association,,,,,,Q3-2016
411,CAS CONSTRUCTION,Kilkenny,Garrin Green,6,SOS Kilkenny Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
412,CAS CONSTRUCTION,Kilkenny,"Bishops Garden, Church Lane, Kiklkenny",6,Good Shepherd Services Ltd,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
413,CAS CONSTRUCTION,Kilkenny,"""Brooke House"", Thomastown",5,Camphill Communities of Ireland,,,,,,Q3-2017
414,CAS CONSTRUCTION,Kilkenny,"Ballytobin, Callan",4,Camphill Communities of Ireland,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
415,CAS CONSTRUCTION,Kilkenny,"Kyle, Callan, Co. Kilkenny",4,Camphill Communities of Ireland,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
416,CAS CONSTRUCTION,Kilkenny,"Kingsriver, Ennisnag",2,Kingsriver Housing Association Limited,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
417,CAS CONSTRUCTION,Kilkenny,"Hazelbrook, Newrath",2,Waterford Dove Housing Association,,,,,Q3-2017,
418,CAS CONSTRUCTION,Kilkenny,"Camphill ~Communities Garden Cottage, The Workhouse, Callan",1,Camphill Communities of Ireland,,,,,,Q4-2017
419,SHIP CONSTRUCTION,Kilkenny,"Crokers Hill, Pennyswell Road, Kilkenny",80,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
420,SHIP CONSTRUCTION,Kilkenny,"Bolton, Callan",38,N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
421,SHIP CONSTRUCTION,Kilkenny,"Abbeyquarter Vicar Street, Kilkenny",30,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
422,SHIP CONSTRUCTION,Kilkenny,"The Butts, Kilkenny",22,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
423,SHIP CONSTRUCTION,Kilkenny,"Main Street, Piltown",18,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
424,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",18,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
425,SHIP CONSTRUCTION,Kilkenny,"The Broguemaker, Kilkenny",15,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
426,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",14,N/A,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
427,SHIP CONSTRUCTION,Kilkenny,"Gaol Rooad, Kilkenny",10,N/A,,,,,,Q3-2016
428,SHIP CONSTRUCTION,Kilkenny,"10 Golf Links Road, Kilkenny",7,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
429,SHIP CONSTRUCTION,Kilkenny,"Rosehill, Kells Road, Kilkenny",6,N/A,,,,,,Q1-2017
430,SHIP CONSTRUCTION,Kilkenny,Greensbridge House,5,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
431,SHIP CONSTRUCTION,Kilkenny,"Blackstaff House, Callan",4,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
432,SHIP CONSTRUCTION,Kilkenny,"Robertshill, Kilkenny",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
433,SHIP CONSTRUCTION,Kilkenny,"Rural Cottage Barna, Freshford",1,N/A,,,,,Q4-2017,
434,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",11,N/A,,,,,,Q3-2017
435,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank",11,N/A,,,,,Q2-2017,
436,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Newpark, Castlecomer Road, Kilkenny",7,N/A,,,,,,Q1-2017
437,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",5,N/A,,,,,,Q4-2017
438,CALF CONSTRUCTION,Laois,Cluin Inn Mountrath,11,Oaklee Housing Trust,,,,,Q3-2017,
439,CALF CONSTRUCTION,Laois,"55/56 Kirwan Park, Mountmellick",2,Cluid Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
440,CALF CONSTRUCTION TURNKEY,Laois,"Wilton Lawns, Portarlington",2,Túath Housing Association,,,,Scheme approved for CALF funding Q4-2016,,
441,CAS CONSTRUCTION,Laois,"Abbeyleix Road, Portlaoise",16,Respond!,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
442,CAS CONSTRUCTION,Laois,"St. Fintan's Hospital, Dublin Road, Portlaoise",8,Oaklee Housing Trust,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
443,SHIP CONSTRUCTION,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,N/A,,,,,Q4-2016,
444,SHIP CONSTRUCTION,Laois,"Ballymorris Road, Portarlington",20,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
445,SHIP CONSTRUCTION,Laois,"Gleann na Glaise, Ballyroan",10,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
446,SHIP CONSTRUCTION,Laois,Pattison Est. Mountmellick,10,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
447,SHIP CONSTRUCTION,Laois,"Shannon Street, Mountrath",8,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
448,SHIP CONSTRUCTION,Laois,"Main Street, Rathdowney",5,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
449,CALF CONSTRUCTION TURNKEY,Laois ,"31 36 Droimnin, Stradbally",6,Cluid Housing Association,,,,,Q4-2017,
450,CAS CONSTRUCTION,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,,,,,Q4-2017
451,SHIP CONSTRUCTION,Leitrim,"Summerhill, Carrick on Shannon",28,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
452,SHIP CONSTRUCTION,Leitrim,"Attirory, Carrick-on-Shannon",24,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
453,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,N/A,,,,,Q2-2017,
454,CALF CONSTRUCTION,Limerick,"1 20 Park View Row, Hyde Road, Limerick",20,Cluid Housing Association,,,,,Q3-2016,
455,CALF CONSTRUCTION TURNKEY,Limerick,"Cosgrave Park, Moyross, Limerick City (Regen)q2",21,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q3-2017,,
456,CALF CONSTRUCTION TURNKEY,Limerick,"Old Dublin Road, Rhebogue, LimerickX",16,Cluid Housing Association,,,,,Q3-2017,
457,CALF CONSTRUCTION TURNKEY,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",11,Respond!,,,,,Q4-2017,
458,CALF CONSTRUCTION TURNKEY,Limerick,"Ard Aulin, Mungret Phase 1",7,Cluid Housing Association,,,,,,Q2-2017
459,CALF CONSTRUCTION TURNKEY,Limerick,"Cluain Ard, Fedamore",4,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2017,,
460,CALF CONSTRUCTION TURNKEY,Limerick,"Ard Aulin, Mungret Phase 2",1,Cluid Housing Association,,,,,Q4-2016,
461,CAS CONSTRUCTION,Limerick,"Drominbeg, Rhebogue",21,Co-operative Housing Ireland (Formerly NABCo),"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
462,CAS CONSTRUCTION,Limerick,Cappamore,12,Cappamore Housing Association Ltd,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
463,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",12,Associated Charities Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
464,CAS CONSTRUCTION,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,,,,,Q4-2016
465,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",10,Croom Voluntary Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
466,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,,,,Q3-2017,
467,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City",4,Simon Community : Midwest Simon,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
468,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",79,N/A,,,,,,Q4-2017
469,REGENERATION,Limerick,Churchfield (Phase 1),42,N/A,,,,,Q3-2016,
470,REGENERATION,Limerick,Churchfield (Phase 2),38,Circle Voluntary Housing Association Ltd,,"Stage 2 approved in Q4-2014, full design/tender being prepared.",,,,
471,REGENERATION,Limerick,Carew Park,37,N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
472,REGENERATION,Limerick,Cosgrave Park,30,Co-operative Housing Ireland (Formerly NABCo),,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
473,REGENERATION,Limerick,Palm Court,27,Respond!,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
474,REGENERATION,Limerick,Orchard Site,26,Oaklee Housing Trust,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
475,REGENERATION,Limerick,Dalgaish Park,24,Cluid Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
476,REGENERATION,Limerick,St. Mary's Park Infills,19,Túath Housing Association Ltd,,,,,Q4-2017,
477,REGENERATION,Limerick,Cliona Park (Phase 3),18,Túath Housing Association Ltd,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
478,REGENERATION,Limerick,"BCW Vacant Refurbs, Lot 1 & 2**",14,N/A,,,,,,Q4-2016
479,REGENERATION,Limerick,Markievicz Drive,13,N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
480,REGENERATION,Limerick,2017 Southill Rebuilds,13,N/A,,,,,,Q4-2017
481,REGENERATION,Limerick,Cliona Park (Phase 2),10,N/A,,,,,,Q2-2017
482,REGENERATION,Limerick,2016 St. Mary's Park Rebuild,9,N/A,,,,,,Q4-2016
483,REGENERATION,Limerick,Sheep / Athlunkards Street,8,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
484,REGENERATION,Limerick,2016 Southhill Rebuild,8,N/A,,,,,,Q4-2016
485,REGENERATION,Limerick,2016 Moyross Rebuild,6,N/A,,,,,,Q4-2016
486,REGENERATION,Limerick,8-10 Gaol Lane,3,N/A,,,,,,Q4-2016
487,REGENERATION,Limerick,1 3 Weston Gardens,3,N/A,,,,,,Q2-2016
488,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",2,N/A,,,,,,Q1-2017
489,REGENERATION,Limerick,176 & 177 Cliona Park,2,N/A,,,,,,Q2-2016
490,REGENERATION,Limerick,45-46 Cliona Park,2,N/A,,,"Stage 3 approved in Q1-2017, the scheme is now being tendered.",,,
491,REGENERATION,Limerick,Gaol Lane,1,N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
492,REGENERATION,Limerick,2017 St Mary's Park Rebuild,1,N/A,,,,,,Q4-2017
493,REGENERATION,Limerick,2017 Ballinacurra Weston Rebuild,1,N/A,,,,,,Q4-2017
494,REGENERATION,Limerick,2017 Moyross Rebuild,1,N/A,,,,,,Q4-2017
495,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",38,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
496,SHIP CONSTRUCTION,Limerick,"Vance's Lands, Limerick City",37,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
497,SHIP CONSTRUCTION,Limerick,"Deerpark, Adare",30,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
498,SHIP CONSTRUCTION,Limerick,"Childers Road, Limerick City",24,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
499,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
500,SHIP CONSTRUCTION,Limerick,"Lisheen Park, Patrickswell",16,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
501,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
502,SHIP CONSTRUCTION,Limerick,"1-12 Burke Avenue, Limerick City",12,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
503,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",11,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
504,SHIP CONSTRUCTION,Limerick,Sexton Street North & Kileely Court,10,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
505,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",7,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
506,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
507,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",6,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
508,SHIP CONSTRUCTION,Limerick,"Patrick?s Villas, Castleconnell",5,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
509,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",5,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
510,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
511,SHIP CONSTRUCTION,Limerick,"Site Adj. to Athlunkard Boat Club, Limerick City",4,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
512,SHIP CONSTRUCTION,Limerick,"Chas Flats, Limerick City",3,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
513,SHIP CONSTRUCTION,Limerick,"Joseph Street, Limerick City",3,N/A,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
514,SHIP CONSTRUCTION,Limerick,"Hassett Villas, Thomondgate",3,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
515,SHIP CONSTRUCTION,Limerick,"Ballygrennan Road, Moyross",3,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
516,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
517,SHIP CONSTRUCTION,Limerick,"Ballygreannan Road, Limerick City",2,N/A,,,,,,Q4-2017
518,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",2,N/A,,,,,,Q4-2017
519,SHIP CONSTRUCTION RAPID,Limerick,"Old Christians Site, Rathbane",34,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
520,SHIP CONSTRUCTION RAPID,Limerick,"Lower Carey's Road, Limerick City",11,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
521,SHIP CONSTRUCTION RAPID,Limerick,Upper Carey's Road,11,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
522,SHIP CONSTRUCTION RAPID,Limerick,Mountpelier,10,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
523,SHIP CONSTRUCTION RAPID,Limerick,Knocklong,10,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
524,SHIP CONSTRUCTION RAPID,Limerick,Ballyhahill,4,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
525,CALF CONSTRUCTION TURNKEY,Longford,"Cartrun Breac, Lisbrack Rd, Longford",7,Cluid Housing Association,,,,,,Q1-2017
526,SHIP CONSTRUCTION,Longford,"Church View, Lanesborough",13,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
527,SHIP CONSTRUCTION,Longford,"Rathcline Road, Lanesborough",4,N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
528,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,N/A,,,,,Q2-2017,
529,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",14,N/A,,,,,,Q4-2017
530,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",2,N/A,,,,,Q4-2017,
531,CALF CONSTRUCTION,Louth,"Scarlett Street, Drogheda",15,North  East Housing Association Ltd,,,,Scheme approved for CALF funding Q3-2016,,
532,CALF CONSTRUCTION,Louth,"Clos na Manach, Carlingford",10,Túath Housing Association,,,,,Q2-2017,
533,CALF CONSTRUCTION,Louth,Rath na Gloinne,3,Cluid Housing Association,,,,,,Q3-2016
534,CALF CONSTRUCTION,Louth,"Bishops Court, Dundalk",2,Túath Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
535,CALF CONSTRUCTION,Louth,"2 Slieve Row Crescent, Dundalk",1,Cluid Housing Association,,,,,,Q2-2016
536,CALF CONSTRUCTION TURNKEY,Louth,"Castleguard, Ardee",102,Túath Housing Association,,,,,Q2-2017,
537,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",54,North  East Housing Association Ltd,,,,,Q4-2017,
538,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",51,Túath Housing Association,,,,,Q4-2017,
539,CALF CONSTRUCTION TURNKEY,Louth,"Avourwen Meadows, Drogheda",50,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1-2017,,
540,CALF CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Lane, Drogheda Phase 1",41,Túath Housing Association,,,,,,Q4-2017
541,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk Phase 2",16,Cluid Housing Association,,,,,Q4-2016,
542,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk Phase 3",15,Cluid Housing Association,,,,,Q4-2016,
543,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk Phase 1",12,Cluid Housing Association,,,,,,Q4-2017
544,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 2,12,Cluid Housing Association,,,,,,Q3-2017
545,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 1,10,Cluid Housing Association,,,,,,Q1-2017
546,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 2",10,Cluid Housing Association,,,,,,Q1-2017
547,CALF CONSTRUCTION TURNKEY,Louth,Aston Village,8,Respond!,,,,Scheme approved for CALF funding Q4-2016,,
548,CALF CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Lane, Drogheda Phase 2",6,Túath Housing Association,,,,,Q4-2016,
549,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 1",4,Cluid Housing Association,,,,,,Q1-2017
550,CALF CONSTRUCTION TURNKEY,Louth,"Knock Shee, Old Golf Links road, Blackrock, Co. Louth",3,Cluid Housing Association,,,,,,Q4-2017
551,CAS CONSTRUCTION,Louth,"Clontygora, Dundalk",11,Cluid Housing Association,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
552,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",8,Simon Community : Dundalk Simon,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
553,CAS CONSTRUCTION,Louth,"Saltown, Dundalk",7,North  East Housing Association Ltd,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
554,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
555,CAS CONSTRUCTION,Louth,Coulter Park,6,Túath Housing Association Ltd,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
556,CAS CONSTRUCTION,Louth,"36 Strand, Clogherhead",4,St. John of God Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
557,CAS CONSTRUCTION,Louth,"5 Slieveroe Cresent, Dundalk",1,Cluid Housing Association,,,,,Q4-2017,
558,CAS CONSTRUCTION,Louth,"Castletowncooley, Riverstown, Dundalk",1,Túath Housing Association Ltd,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
559,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda",1,North  East Housing Association Ltd,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
560,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond!,,,,,,Q1-2017
561,REGENERATION,Louth,Cox's Demesne Phase 2b,22,N/A,"Stage 1 approved in Q3-2013, outline design and costs are now being prepared.",,,,,
562,REGENERATION,Louth,Cox's Demesne Phase 2a,14,N/A,,,,,,Q4-2016
563,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",75,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
564,SHIP CONSTRUCTION,Louth,Boice Court (Phase 2 - 4),69,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
565,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
566,SHIP CONSTRUCTION,Louth,Drogheda B&R project,12,N/A,,,,,Q3-2017,
567,SHIP CONSTRUCTION,Louth,Dundalk B&R project (4),6,N/A,,,,,,Q4-2017
568,SHIP CONSTRUCTION,Louth,Dundalk B&R project (1),7,N/A,,,,,,Q4-2016
569,SHIP CONSTRUCTION,Louth,Dundalk B&R project (2),7,N/A,,,,,,Q2-2017
570,SHIP CONSTRUCTION,Louth,Dundalk B&R project (3),9,N/A,,,,,,Q3-2017
571,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,N/A,,,,,,Q3-2016
572,SHIP CONSTRUCTION,Louth,"55/57 Bothar Brugha, Drogheda",3,N/A,,,,,,Q4-2017
573,CALF CONSTRUCTION TURNKEY,Mayo,Ballina area,11,Cluid Housing Association,,,,Scheme approved for CALF funding Q4-2016,,
574,CALF CONSTRUCTION TURNKEY,Mayo,"Glenlara, Westport, Co Mayo ",10,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
575,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 1)",8,Society of Saint Vincent de Paul,,,,,,Q3-2016
576,CAS CONSTRUCTION,Mayo,"Logmore, Belmullet",7,Irish Wheelchair Association Ltd,,,,,,Q2-2017
577,CAS CONSTRUCTION,Mayo,Glenamoy,6,Glenamoy Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
578,CAS CONSTRUCTION,Mayo,"Killosheehan, Ballinrobe",6,Society of Saint Vincent de Paul,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
579,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 2)",4,Society of Saint Vincent de Paul,,,"Stage 3 approved in Q3-2016, the scheme is now being tendered.",,,
580,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Swinford",26,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
581,SHIP CONSTRUCTION,Mayo,"Lios na Circa, Saleen, Castlebar",22,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
582,SHIP CONSTRUCTION,Mayo,"Tubberhill, Westport (Phase 3)",21,N/A,,,,,Q3-2016,
583,SHIP CONSTRUCTION,Mayo,"Abbeyquarter, Ballyhaunis",18,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
584,SHIP CONSTRUCTION,Mayo,"Sli na Roba, Friarsquarter, Ballinrobe",16,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
585,SHIP CONSTRUCTION,Mayo,"Bothar Dubh, Claremorris",12,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
586,SHIP CONSTRUCTION,Mayo,"Sliabh Rua, Foxford - Phase 3",10,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
587,SHIP CONSTRUCTION,Mayo,"Knockmore, Ballina",8,N/A,,,,,Q4-2017,
588,SHIP CONSTRUCTION,Mayo,"Parke, Castlebar",8,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
589,SHIP CONSTRUCTION,Mayo,Killavally,8,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
590,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Knock (Phase 3)",4,N/A,,,,,Q3-2017,
